task_name,input_file_name,city
Gagan Vihar,gagan_vihar.mp3,DELHI
Freedom Fighter Enclave,freedom_fighter_enclave.mp3,DELHI
Fateh Nagar,fateh_nagar.mp3,DELHI
Dwarka Sector 9,dwarka_sector_9.mp3,DELHI
Greater Kailash III,greater_kailash_iii.mp3,DELHI
Gole Market,gole_market.mp3,DELHI
IP Estate,ip_estate.mp3,DELHI
Hauz Khas Enclave,hauz_khas_enclave.mp3,DELHI
India Gate,india_gate.mp3,DELHI
Green Park Extension,green_park_extension.mp3,DELHI
Model Town,model_town.mp3,DELHI
Mohan Garden,mohan_garden.mp3,DELHI
Rohini Sector 3,rohini_sector_3.mp3,DELHI
Bhagwan Das Road,bhagwan_das_road.mp3,DELHI
Rohini Sector 22,rohini_sector_22.mp3,DELHI
Bharat Nagar,bharat_nagar.mp3,DELHI
Brahmpuri,brahmpuri.mp3,DELHI
Rohini Sector 7,rohini_sector_7.mp3,DELHI
Barakhamba Road,barakhamba_road.mp3,DELHI
Shanti Niketan,shanti_niketan.mp3,DELHI
Shastri Nagar,shastri_nagar.mp3,DELHI
Shakur Basti,shakur_basti.mp3,DELHI
Balbir Nagar,balbir_nagar.mp3,DELHI
Safdarjung Development Area,safdarjung_development_area.mp3,DELHI
Ranaji Enclave,ranaji_enclave.mp3,DELHI
Rithala,rithala.mp3,DELHI
Nirman Vihar,nirman_vihar.mp3,DELHI
Pahar Ganj,pahar_ganj.mp3,DELHI
New Mustafabad,new_mustafabad.mp3,DELHI
Defence Colony,defence_colony.mp3,DELHI
Neeti Bagh,neeti_bagh.mp3,DELHI
Pandav Nagar,pandav_nagar.mp3,DELHI
Mithapur,mithapur.mp3,DELHI
Central Secretariat,central_secretariat.mp3,DELHI
Raj Nagar,raj_nagar.mp3,DELHI
Qutabgarh,qutabgarh.mp3,DELHI
Chittaranjan,chittaranjan.mp3,DELHI
Jor Bagh,jor_bagh.mp3,DELHI
Aara Mohalla ,aara_mohalla_.mp3,JALANDHAR
ABADI JALOWALI ,abadi_jalowali_.mp3,JALANDHAR
Abadpura,abadpura.mp3,JALANDHAR
Abadpura Gali No. to  ,abadpura_gali_no._to__.mp3,JALANDHAR
Abinandan Park ,abinandan_park_.mp3,JALANDHAR
ADDA BASTI ,adda_basti_.mp3,JALANDHAR
Adarsh Nagar ,adarsh_nagar_.mp3,JALANDHAR
ADDA BASTIAN BASTI ROAD ,adda_bastian_basti_road_.mp3,JALANDHAR
ADDA HOSHIARPUR ,adda_hoshiarpur_.mp3,JALANDHAR
ADDA TANDA ,adda_tanda_.mp3,JALANDHAR
Adrash Nagar ,adrash_nagar_.mp3,JALANDHAR
AJAY NAGAR ,ajay_nagar_.mp3,JALANDHAR
Shastri Park,shastri_park.mp3,DELHI
Ajit Nagar ,ajit_nagar_.mp3,JALANDHAR
Ajit Pura ,ajit_pura_.mp3,JALANDHAR
AJIT VIHAR,ajit_vihar.mp3,JALANDHAR
Ajit Singh Nagar ,ajit_singh_nagar_.mp3,JALANDHAR
Akal Avenue ,akal_avenue_.mp3,JALANDHAR
AKAL COLONY,akal_colony.mp3,JALANDHAR
Akash Nagar ,akash_nagar_.mp3,JALANDHAR
ALI MOHALLA ,ali_mohalla_.mp3,JALANDHAR
Alli Mohalla ,alli_mohalla_.mp3,JALANDHAR
Aman Nagar ,aman_nagar_.mp3,JALANDHAR
Amandeep Avenue ,amandeep_avenue_.mp3,JALANDHAR
AMANDEEP NAGAR ,amandeep_nagar_.mp3,JALANDHAR
Amar Garden ,amar_garden_.mp3,JALANDHAR
Amar Nagar ,amar_nagar_.mp3,JALANDHAR
AMBEDKAR NAGAR,ambedkar_nagar.mp3,JALANDHAR
Chhawla,chhawla.mp3,DELHI
AMRIK NAGAR ,amrik_nagar_.mp3,JALANDHAR
Amrit Vihar,amrit_vihar.mp3,JALANDHAR
Anand Nagar ,anand_nagar_.mp3,JALANDHAR
Angad Nagar ,angad_nagar_.mp3,JALANDHAR
ARJAN NAGAR ,arjan_nagar_.mp3,JALANDHAR
Arjan Singh Nagar ,arjan_singh_nagar_.mp3,JALANDHAR
Anoop Nagar ,anoop_nagar_.mp3,JALANDHAR
Arjun Nagar ,arjun_nagar_.mp3,JALANDHAR
Army Encleve ,army_encleve_.mp3,JALANDHAR
Arman Nagar,arman_nagar.mp3,JALANDHAR
Arya Nagar ,arya_nagar_.mp3,JALANDHAR
ARYA SAMAJ ,arya_samaj_.mp3,JALANDHAR
Ashok Nagar ,ashok_nagar_.mp3,JALANDHAR
AMBIKA COLONY ,ambika_colony_.mp3,JALANDHAR
Attari Bazar ,attari_bazar_.mp3,JALANDHAR
Ashok Vihar ,ashok_vihar_.mp3,JALANDHAR
Atwal House,atwal_house.mp3,JALANDHAR
Atwal Colony,atwal_colony.mp3,JALANDHAR
Avtar Nagar ,avtar_nagar_.mp3,JALANDHAR
Awan Mohalla ,awan_mohalla_.mp3,JALANDHAR
Azad Nagar ,azad_nagar_.mp3,JALANDHAR
B.D.A.ENCLAVE ,b.d.a.enclave_.mp3,JALANDHAR
B.D.Steel ,b.d.steel_.mp3,JALANDHAR
B.S.F Colony ,b.s.f_colony_.mp3,JALANDHAR
B S SABZI MANDI ,b_s_sabzi_mandi_.mp3,JALANDHAR
Baba Bachittar Ji Nagar Mithu Basti ,baba_bachittar_ji_nagar_mithu_basti_.mp3,JALANDHAR
Baba Balak Nath Market ,baba_balak_nath_market_.mp3,JALANDHAR
Baba Balak Nath Nagar ,baba_balak_nath_nagar_.mp3,JALANDHAR
Baba Budha Ji Colony,baba_budha_ji_colony.mp3,JALANDHAR
Baba Budha Ji Nagar ,baba_budha_ji_nagar_.mp3,JALANDHAR
Baba Budha Singh Nagar,baba_budha_singh_nagar.mp3,JALANDHAR
Baba Gadila Shah colony ,baba_gadila_shah_colony_.mp3,JALANDHAR
Baba Kahandass Nagar ,baba_kahandass_nagar_.mp3,JALANDHAR
Baba Makhan Shah Lubana,baba_makhan_shah_lubana.mp3,JALANDHAR
Baba Math Shah ,baba_math_shah_.mp3,JALANDHAR
Baba Mohan Dass Nagar,baba_mohan_dass_nagar.mp3,JALANDHAR
BABA MOHAN DASS ROAD,baba_mohan_dass_road.mp3,JALANDHAR
BABA SHIRI CHAND NAGAR,baba_shiri_chand_nagar.mp3,JALANDHAR
BABRIK CHOWK ,babrik_chowk_.mp3,JALANDHAR
Babu Labh Singh Nagar ,babu_labh_singh_nagar_.mp3,JALANDHAR
Bada Bazar ,bada_bazar_.mp3,JALANDHAR
Bachint Nagar ,bachint_nagar_.mp3,JALANDHAR
Badhri Colony ,badhri_colony_.mp3,JALANDHAR
Badridass Colony,badridass_colony.mp3,JALANDHAR
Bagampura Mohalla ,bagampura_mohalla_.mp3,JALANDHAR
Bagh Ahluwalia ,bagh_ahluwalia_.mp3,JALANDHAR
Bagh Baharia ,bagh_baharia_.mp3,JALANDHAR
Bagh Bharian ,bagh_bharian_.mp3,JALANDHAR
BAGH KARAM BAKSH ,bagh_karam_baksh_.mp3,JALANDHAR
Baghia Whra ,baghia_whra_.mp3,JALANDHAR
BAJWA COLONY ,bajwa_colony_.mp3,JALANDHAR
Bal bro Nagar ,bal_bro_nagar_.mp3,JALANDHAR
Baldev Nagar ,baldev_nagar_.mp3,JALANDHAR
Balmik Mohalla ,balmik_mohalla_.mp3,JALANDHAR
Balmiki Colony ,balmiki_colony_.mp3,JALANDHAR
Balwant Nagar ,balwant_nagar_.mp3,JALANDHAR
Bandha Bhader Nagar ,bandha_bhader_nagar_.mp3,JALANDHAR
Bank Colony,bank_colony.mp3,JALANDHAR
BANK ENCLAVE,bank_enclave.mp3,JALANDHAR
Patel Nagar,patel_nagar.mp3,DELHI
Bansa Wala Bazar ,bansa_wala_bazar_.mp3,JALANDHAR
Bara Bazar ,bara_bazar_.mp3,JALANDHAR
BARA GURUDWARA BASTI SHEIKH ,bara_gurudwara_basti_sheikh_.mp3,JALANDHAR
BARADARI,baradari.mp3,JALANDHAR
BASANT AVENUE EXTENSION,basant_avenue_extension.mp3,JALANDHAR
Barring Pind,barring_pind.mp3,JALANDHAR
